CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
90703,0,7,0,0,9,0,0,1,0,1,3,0,21,20.83,1,2,24,E
90704,0,14,0,0,8,0,0,2,0,0,3,0,27,17.24,2,0,29,E
90705,0,2,0,0,3,0,0,7,0,2,2,0,16,36.36,4,2,22,E
90706,0,13,0,0,3,0,0,3,0,1,1,0,21,20.83,3,0,24,NULL
90708,0,8,0,0,4,0,0,2,0,1,6,0,21,37.50,2,1,24,NULL
90711,0,1,0,0,4,0,0,6,0,5,9,0,25,63.33,5,0,30,NULL
90728,5,9,2,4,5,1,0,0,1,0,0,0,27,0.00,0,0,27,T
90729,0,2,2,3,1,1,0,0,1,0,0,0,10,8.33,1,1,12,T
90730,0,1,2,0,2,0,1,0,0,0,0,0,6,14.29,1,0,7,T
90731,1,6,1,0,0,0,0,0,0,0,0,0,8,0.00,0,0,8,T
90733,0,0,1,4,3,1,1,0,0,0,0,0,10,0.00,0,0,10,T
90734,0,4,0,0,5,0,0,6,0,2,1,0,18,48.28,11,0,29,E
90735,0,3,0,0,3,0,0,3,0,4,7,0,20,68.97,9,0,29,F
90736,5,3,3,8,6,4,5,3,1,3,0,0,41,7.32,0,0,41,T
90740,0,1,2,2,4,4,2,4,0,1,0,0,20,4.76,0,1,21,T
90748,0,3,0,0,2,0,0,0,0,0,0,0,5,16.67,1,0,6,NULL
90749,0,2,0,0,1,0,0,2,0,1,5,0,11,58.33,1,0,12,NULL
90765,0,8,4,1,0,0,0,0,0,0,0,0,13,6.67,1,1,15,T
90781,0,1,0,0,1,0,0,0,0,0,3,0,5,50.00,1,2,8,NULL
90784,0,10,0,0,0,0,0,0,0,0,0,0,10,0.00,0,0,10,NULL
90785,0,10,0,0,1,0,0,0,0,0,0,0,11,0.00,0,0,11,NULL
90795,9,24,4,3,2,3,0,0,0,0,0,0,45,0.00,0,0,45,T
90796,2,2,2,2,4,6,1,3,6,3,2,0,33,19.44,2,1,36,H
90797,2,1,1,1,1,0,0,0,0,0,0,0,6,0.00,0,0,6,T
90800,0,4,6,6,3,0,0,1,0,0,2,0,22,12.50,1,1,24,T
90803,0,6,0,0,0,0,0,0,0,0,0,0,6,0.00,0,0,6,T
90804,0,18,0,0,5,0,0,1,0,0,5,0,29,28.57,5,1,35,E
90807,0,0,2,3,3,0,0,2,0,0,0,0,10,0.00,0,0,10,T
90808,11,9,6,2,7,1,0,3,0,4,2,0,45,16.67,2,1,48,H
90812,5,4,1,2,0,2,3,8,0,6,3,0,34,28.57,1,0,35,T
90815,0,1,4,1,0,0,0,0,0,0,0,0,6,0.00,0,0,6,T
90822,0,17,0,0,0,0,0,0,0,0,0,0,17,0.00,0,0,17,NULL
90826,0,7,0,0,4,0,0,2,0,0,0,0,13,0.00,0,0,13,NULL
90828,0,17,0,0,0,0,0,0,0,0,0,0,17,0.00,0,0,17,NULL
90829,0,25,0,0,2,0,0,2,0,0,0,0,29,0.00,0,0,29,NULL
90830,0,26,0,0,3,0,0,2,0,0,0,0,31,0.00,0,0,31,NULL
90835,0,3,0,0,15,0,0,1,0,0,0,0,19,0.00,0,0,19,NULL
90836,0,7,0,0,0,0,0,0,0,0,0,0,7,0.00,0,0,7,NULL
90837,0,10,0,0,4,0,0,0,0,0,1,0,15,6.67,0,0,15,NULL
90838,0,3,0,0,9,0,0,1,0,0,0,0,13,0.00,0,0,13,NULL
90839,0,4,0,0,4,0,0,0,0,1,0,0,9,11.11,0,0,9,NULL
90840,0,11,0,0,5,0,0,1,0,0,5,0,22,36.67,6,2,30,NULL
90849,0,3,0,0,10,0,0,3,0,0,0,0,16,0.00,0,0,16,NULL
90850,0,6,0,0,9,0,0,0,0,0,1,0,16,6.25,0,0,16,NULL
90851,0,21,0,0,0,0,0,0,0,0,0,0,21,0.00,0,0,21,NULL
90853,0,2,0,0,3,0,0,10,0,4,3,0,22,31.82,0,0,22,NULL
90859,0,9,0,0,6,0,0,2,0,2,0,0,19,20.83,3,2,24,E
90860,0,7,0,0,4,0,0,3,0,0,3,0,17,40.00,7,1,25,E
90862,0,4,0,0,8,0,0,3,0,1,2,0,18,31.82,4,0,22,NULL
90865,0,1,0,0,5,0,0,3,0,4,3,0,16,59.09,6,0,22,E
90881,0,2,0,0,6,0,0,4,0,2,5,0,19,52.00,6,0,25,E
90900,2,4,1,0,3,1,3,6,8,0,0,0,28,0.00,0,0,28,T
90903,0,7,0,0,3,0,0,0,0,0,0,0,10,0.00,0,0,10,T
90904,18,7,1,3,0,0,0,0,0,0,0,0,29,0.00,0,0,29,T
90905,0,35,0,0,6,0,0,1,0,0,0,0,42,2.33,1,0,43,T
90907,0,0,12,4,5,0,0,0,0,0,0,0,21,4.55,1,0,22,T
90909,0,9,11,7,1,0,0,0,0,0,0,0,28,0.00,0,0,28,T
90912,0,7,6,6,2,0,0,0,0,0,0,0,21,4.55,1,0,22,T
90915,2,7,4,1,3,0,1,0,0,0,0,0,18,0.00,0,0,18,T
90916,3,11,0,4,0,0,0,0,0,0,0,0,18,0.00,0,0,18,T
90917,11,6,0,0,0,0,0,0,0,0,0,0,17,0.00,0,0,17,T
90918,11,7,2,0,0,0,0,0,0,0,0,0,20,0.00,0,0,20,T
90919,6,11,3,7,2,1,0,0,0,0,0,0,30,0.00,0,0,30,T
90920,3,8,3,2,0,1,1,0,0,0,0,0,18,0.00,0,0,18,T
90921,4,10,3,0,1,0,0,0,0,0,0,0,18,0.00,0,0,18,T
90922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,8,8,
90923,20,4,0,1,1,0,0,0,0,0,0,0,26,0.00,0,0,26,F
90924,1,17,0,0,1,0,0,0,0,0,0,0,19,0.00,0,0,19,T
90927,1,8,0,0,0,0,0,0,0,0,0,0,9,0.00,0,0,9,T
90929,3,11,4,3,0,2,0,0,0,0,1,0,24,4.17,0,0,24,E
90930,1,3,1,1,1,3,0,0,1,0,1,0,12,13.33,1,2,15,E
90931,1,3,3,1,0,0,0,0,0,0,0,0,8,10.00,1,1,10,T
90932,2,6,4,1,4,1,0,0,0,0,0,0,18,5.26,1,0,19,T
90933,0,1,6,1,0,0,0,0,0,0,0,0,8,0.00,0,0,8,T
90935,1,0,3,1,0,0,0,0,0,1,0,0,6,37.50,2,0,8,T
90936,4,10,2,0,0,0,0,0,0,0,0,0,16,0.00,0,0,16,T
90937,0,3,4,7,1,1,0,0,0,0,0,0,16,0.00,0,0,16,T
90944,0,3,1,1,1,0,1,0,0,0,0,0,7,12.50,1,0,8,T
90947,0,2,4,0,1,0,0,0,0,0,1,0,8,22.22,1,0,9,T
90949,0,10,1,2,0,0,0,0,0,0,0,0,13,0.00,0,1,14,T
90951,2,5,3,3,2,3,2,0,2,1,4,0,27,21.43,1,0,28,T
90953,19,7,7,5,7,0,1,0,0,0,1,0,47,4.17,1,0,48,T
90954,4,3,0,2,1,0,0,0,0,0,0,0,10,16.67,2,0,12,T
90955,11,26,15,8,5,4,3,5,10,5,4,0,96,13.86,5,0,101,E
90956,0,2,5,4,1,2,0,2,0,0,0,0,16,11.11,2,0,18,T
90957,0,2,4,2,5,4,0,1,1,0,1,0,20,9.09,1,1,22,T
90959,0,1,4,4,3,3,0,0,0,0,1,0,16,15.00,2,2,20,T
90961,1,3,4,2,8,3,5,6,0,0,0,0,32,5.71,2,1,35,T
90962,0,4,4,9,6,1,0,0,0,0,0,0,24,0.00,0,1,25,T
90963,2,9,6,2,5,0,1,0,0,0,2,0,27,16.67,3,0,30,T
90964,1,4,2,2,3,0,0,0,0,0,1,0,13,25.00,3,0,16,T
90965,6,9,4,2,5,0,0,0,0,1,0,0,27,3.45,0,2,29,T
90967,0,3,5,0,1,0,0,0,0,0,0,0,9,0.00,0,0,9,T
90970,3,3,0,0,0,0,0,0,0,0,0,0,6,12.50,1,1,8,T
90971,0,5,2,0,0,1,0,0,1,1,0,0,10,16.67,1,1,12,T
90976,1,9,4,1,5,2,1,4,0,2,3,0,32,22.86,3,0,35,E
90979,1,3,7,3,1,1,0,0,0,0,0,0,16,0.00,0,0,16,T
90980,1,4,5,2,3,1,0,0,0,0,0,0,16,0.00,0,0,16,T
90984,0,5,1,0,0,0,0,0,0,0,0,0,6,14.29,1,0,7,T
90987,3,2,1,1,0,1,2,0,1,0,1,0,12,8.33,0,0,12,T
90988,2,4,2,2,4,3,0,0,1,0,1,0,19,25.00,5,0,24,T
90989,4,5,6,0,0,0,0,0,0,0,0,0,15,6.25,1,0,16,T
90990,2,7,3,1,1,0,0,0,0,0,1,0,15,12.50,1,0,16,T
90992,3,6,0,1,0,0,0,0,0,0,0,0,10,8.33,1,1,12,T
90993,8,3,3,5,0,6,1,2,0,0,0,0,28,3.45,1,0,29,T
91001,1,2,0,1,0,1,0,0,0,0,0,0,5,16.67,1,0,6,T
91002,1,1,1,2,2,0,0,1,0,0,0,0,8,0.00,0,0,8,T
91003,2,1,2,0,2,1,0,4,0,0,1,0,13,7.69,0,0,13,T
91006,0,3,4,2,6,0,0,2,0,0,0,0,17,0.00,0,2,19,H
91007,0,5,5,1,1,0,0,1,0,0,0,0,13,0.00,0,1,14,T
